park_id,dimensions_x,dimensions_y,batter_left_x,batter_left_y,batter_right_x,batter_right_y,bases_x0,bases_x1,bases_x2,bases_y0,bases_y1,bases_y2,positions_x0,positions_x1,positions_x2,positions_x3,positions_x4,positions_x5,positions_x6,positions_x7,positions_x8,positions_x9,positions_y0,positions_y1,positions_y2,positions_y3,positions_y4,positions_y5,positions_y6,positions_y7,positions_y8,positions_y9,avg,avg_l,avg_r,d,t,hr,hr_r,hr_l,temperature0,temperature1,temperature2,temperature3,temperature4,temperature5,temperature6,temperature7,temperature8,temperature9,temperature10,temperature11,rain0,rain1,rain2,rain3,rain4,rain5,rain6,rain7,rain8,rain9,rain10,rain11,wind,wind_direction,distances0,distances1,distances2,distances3,distances4,distances5,distances6,wall_heights0,wall_heights1,wall_heights2,wall_heights3,wall_heights4,wall_heights5,wall_heights6,name,picture,picture_night,nation_id,capacity,type,foul_ground,turf,gender,relative_path_3d_model,file_name_3d_model,home_team_dugout_is_at_first_base
11,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,0.9841,0.9731,0.9900,0.9669,0.8204,0.9177,0.9006,0.9496,42,44,47,51,57,61,66,66,61,53,46,41,6,6,6,5,3,3,3,2,3,3,7,6,7,4,331,357,388,405,385,357,340,8,8,16,8,8,8,8,"Safeco Field 1999-2012","default_grass.jpg","default_grass.jpg",0,47860,2,0,0,0,"","",1
12,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,0.9595,0.9400,0.9700,0.9300,1.2100,0.9190,0.9400,0.8800,75,75,75,75,75,75,75,75,75,75,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,343,370,404,360,346,322,11,11,11,9,11,11,11,"Tropicana Field","tropicana_field_d.webp","tropicana_field_n.webp",0,31042,1,0,1,0,"./tropicana_field/","tropicana_field.pod",1
13,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0245,1.0326,1.0201,1.0018,1.0490,1.0734,1.0618,1.0951,44,49,57,65,73,81,85,84,78,67,55,47,3,3,3,3,3,3,3,2,3,2,3,2,11,4,332,354,397,400,388,349,325,14,14,8,8,8,8,8,"Globe Life Park 2012-2019","default_grass.jpg","default_grass.jpg",0,48194,0,0,0,0,"","",1
14,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0145,1.0096,1.0172,1.1232,1.0329,1.0787,1.0958,1.0470,21,22,32,44,55,64,70,68,59,48,38,27,2,2,2,2,2,2,2,3,2,2,2,2,14,4,328,352,390,400,390,352,328,10,10,10,10,10,10,10,"SkyDome 1989-2015","default_grass.jpg","default_grass.jpg",0,50598,2,0,1,0,"","",1
15,0,0,338,365,138,365,443,226,86,310,245,303,0,266,251,420,339,47,150,53,249,436,0,317,420,270,209,261,208,155,138,166,1.0210,1.0600,1.0000,1.0900,1.6700,0.9905,0.9800,1.0100,56,60,65,71,81,90,95,93,87,75,63,56,2,2,2,1,0,0,0,2,1,1,1,2,6,8,328,352,376,407,375,354,335,8,8,8,25,8,8,8,"Chase Field","chase_field_d.webp","chase_field_n.webp",0,48633,2,0,0,0,"./chase_field/","chase_field.pod",0
16,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0168,1.0307,1.0092,1.0078,0.9601,0.9581,0.9128,1.0423,43,47,54,62,70,77,80,79,73,63,53,45,3,3,4,3,3,3,3,4,3,2,3,3,9,5,335,358,380,401,390,360,330,8,8,8,8,8,8,8,"Turner Field 1997-2016","default_grass.jpg","default_grass.jpg",0,49586,0,0,0,0,"","",1
17,0,0,337,366,140,367,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,423,278,226,268,217,167,153,191,1.0205,1.0400,1.0100,1.0200,1.3500,0.9835,1.0500,0.8600,22,27,37,48,59,68,73,72,64,52,39,27,3,3,4,4,3,3,3,3,3,3,4,3,10,6,355,357,363,400,381,363,353,16,16,11,11,11,16,16,"Wrigley Field","wrigley_field_d.webp","wrigley_field_n.webp",0,41072,0,0,0,0,"./wrigley_field/","wrigley_field.pod",0
18,0,0,352,354,150,349,443,225,67,309,239,292,0,245,266,420,333,46,151,51,240,434,0,298,411,268,210,256,200,147,114,168,0.9865,0.9800,0.9900,1.0500,0.9400,1.1800,1.1800,1.1800,30,34,44,54,64,72,76,75,67,56,45,35,4,4,4,4,4,4,3,3,3,3,4,4,9,2,328,366,379,404,370,366,325,12,12,12,8,8,8,8,"Great American Ball Park","great_american_ball_park_d.webp","great_american_ball_park_n.webp",0,42319,0,0,0,0,"./great_american_ball_park/","great_american_ball_park.pod",1
19,0,0,322,355,136,355,417,224,68,304,254,303,0,245,250,406,310,47,136,66,264,443,0,312,406,268,219,268,212,154,138,179,1.1805,1.2000,1.1700,1.2700,1.9400,1.2170,1.2100,1.2300,29,33,40,48,57,68,73,72,62,51,38,30,2,3,3,3,3,3,3,3,3,2,3,2,9,5,347,365,390,415,375,360,350,8,8,8,8,8,8,8,"Colorado Field","colorado_field_d.webp","colorado_field_n.webp",0,50445,0,0,0,0,"./colorado_field/","colorado_field.pod",1
20,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,0.9934,0.9935,0.9933,1.0093,1.0323,1.0559,1.0712,1.0276,52,55,62,69,76,81,84,83,79,70,61,54,3,3,3,3,3,3,3,3,3,3,3,3,8,3,315,362,390,436,397,373,326,21,21,25,9,9,7,7,"Minute Maid Park 2000-2016","default_grass.jpg","default_grass.jpg",0,40981,2,0,0,0,"","",1
21,0,0,346,355,140,355,430,224,75,304,254,300,0,259,266,410,319,43,137,59,264,441,0,306,411,267,215,261,215,146,133,175,0.9670,0.9800,0.9600,1.0000,0.5900,1.0875,1.0700,1.1200,57,58,58,61,63,66,69,71,70,67,62,58,2,3,3,1,0,0,0,0,0,1,1,2,8,2,330,360,385,400,385,360,330,4,4,8,8,8,4,4,"Dodger Stadium","dodger_stadium_d.webp","dodger_stadium_n.webp",0,55000,0,0,0,0,"./dodger_stadium/","dodger_stadium.pod",0
22,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0156,1.0043,1.0218,0.9947,1.1208,0.8432,0.8661,0.8006,68,69,72,76,80,82,84,84,82,79,74,70,3,3,3,3,3,5,5,5,7,5,3,3,9,1,344,364,393,415,397,361,335,14,14,14,20,15,14,14,"Marlins Park 2012-2018","default_grass.jpg","default_grass.jpg",0,37422,2,0,0,0,"","",1
23,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0131,1.0132,1.0131,1.0118,1.1044,1.1539,1.1717,1.1209,21,25,35,45,56,66,72,71,63,51,38,26,3,3,4,4,4,4,3,3,3,3,4,3,12,7,344,371,382,400,383,371,345,8,8,8,8,8,6,6,"Miller Park","default_grass.jpg","default_grass.jpg",0,41900,2,0,0,0,"","",1
24,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,0.9684,0.9834,0.9604,0.9691,0.9609,0.9962,0.9978,0.9932,32,34,41,50,60,69,75,74,67,57,47,37,3,3,4,4,4,3,3,3,3,3,3,3,12,6,331,347,373,408,384,375,330,8,8,8,11,18,8,8,"Citi Field 2012-2014","default_grass.jpg","default_grass.jpg",0,41922,0,0,0,0,"","",1
25,0,0,343,362,140,363,443,224,86,315,254,303,0,266,249,420,333,47,150,63,259,443,0,317,417,278,226,268,217,157,130,169,0.9935,1.0000,0.9900,1.0000,1.0000,1.2490,1.2700,1.2100,32,35,43,53,64,72,78,76,69,57,47,37,3,3,4,4,3,3,3,3,3,3,3,3,10,1,329,356,385,401,381,357,330,11,11,11,6,13,13,13,"Citizens Bank Park","citizens_bank_park_d.webp","citizens_bank_park_n.webp",0,43651,0,0,0,0,"./citizens_bank_park/","citizens_bank_park.pod",1
26,0,0,356,350,158,348,443,235,84,303,235,296,0,263,258,433,343,48,144,54,252,440,0,306,407,264,205,256,196,142,119,150,0.9944,1.0100,0.9860,1.1300,0.8400,0.8495,0.7900,0.9600,28,31,40,50,60,68,73,71,64,53,42,33,5,5,5,5,4,4,4,3,3,3,4,5,9,1,325,362,395,399,395,350,320,6,6,10,10,10,21,21,"PNC Park","pnc_park_d.webp","pnc_park_n.webp",0,38362,0,0,0,0,"./pnc_park/","pnc_park.pod",0
27,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,0.9720,0.9833,0.9659,0.9733,1.1789,0.9098,0.9209,0.8892,58,59,60,63,65,67,71,73,72,68,62,58,3,3,3,2,1,0,0,0,0,1,2,2,7,0,336,357,402,396,400,376,322,8,8,8,8,10,8,8,"Petco Park 2004-2014","default_grass.jpg","default_grass.jpg",0,42691,0,0,0,0,"","",1
28,0,0,344,370,153,373,443,224,86,315,254,303,0,266,259,420,333,47,150,67,264,440,0,317,428,278,226,268,217,167,153,191,0.9595,0.9400,0.9700,0.9700,1.2000,0.6875,0.7400,0.5900,49,52,54,56,59,61,63,64,64,61,55,50,3,3,3,3,1,0,0,0,0,1,3,3,11,5,339,364,404,399,421,365,309,8,8,8,8,8,8,8,"Oracle Park","oracle_park_d.webp","oracle_park_n.webp",0,41503,0,0,0,0,"./oracle_park/","oracle_park.pod",0
29,0,0,331,377,134,379,429,229,89,329,267,325,0,261,238,411,341,50,156,52,249,440,0,339,429,293,241,283,231,183,185,198,0.9800,0.9800,0.9800,0.9930,0.9500,0.8625,0.8100,0.9600,30,35,46,57,67,76,80,78,70,58,45,34,3,3,4,4,3,3,3,3,3,3,3,3,10,6,336,355,375,400,375,355,335,8,8,8,8,8,8,8,"Busch Stadium","busch_stadium_d.webp","busch_stadium_n.webp",0,46861,0,0,0,0,"./busch_stadium/","busch_stadium.pod",1
30,0,0,337,355,140,355,432,224,75,306,251,300,0,263,266,422,333,36,149,69,258,449,0,308,411,264,213,262,214,146,119,156,1.0805,1.1000,1.0700,1.1500,0.8100,1.1395,1.1500,1.1200,35,38,47,56,66,75,79,77,71,59,49,40,3,3,4,3,3,3,3,3,3,3,3,3,9,5,336,355,377,402,370,353,335,8,8,8,12,12,12,12,"Nationals Park","nationals_park_d.webp","nationals_park_n.webp",0,41222,0,0,0,0,"./nationals_park/","nationals_park.pod",1
31,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,36,41,48,56,65,75,79,76,69,57,44,36,2,2,2,1,2,2,2,3,3,2,2,2,9,1,325,360,380,400,380,360,325,8,8,8,8,8,8,8,"Isotopes Park","default_grass.jpg","default_grass.jpg",0,15000,0,0,0,0,"","",1
32,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,28,32,38,45,55,64,70,68,60,49,36,29,2,2,3,3,3,3,3,4,3,2,2,2,10,2,325,360,380,400,380,360,325,8,8,8,8,8,8,8,"Security Service Field","default_grass.jpg","default_grass.jpg",0,15000,0,0,0,0,"","",1
33,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,46,51,56,61,69,76,81,80,75,65,53,45,3,3,3,2,1,0,0,0,0,1,2,3,6,1,325,360,380,400,380,360,325,8,8,8,8,8,8,8,"Chukchansi Park","default_grass.jpg","default_grass.jpg",0,15000,0,0,0,0,"","",1
34,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,42,45,49,53,60,69,76,76,69,58,49,44,2,1,1,2,1,1,0,0,1,2,2,2,11,3,325,360,380,400,380,360,325,8,8,8,8,8,8,8,"Principal Park","default_grass.jpg","default_grass.jpg",0,15000,0,0,0,0,"","",1
35,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,47,52,58,66,75,86,91,89,81,69,55,47,1,1,1,1,0,0,0,1,1,1,1,1,9,1,325,360,380,400,380,360,325,8,8,8,8,8,8,8,"Cashman Field","default_grass.jpg","default_grass.jpg",0,15000,0,0,0,0,"","",1
36,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,40,45,54,62,71,79,83,81,75,64,52,43,3,3,4,3,3,3,3,3,3,3,3,3,9,4,325,360,380,400,380,360,325,8,8,8,8,8,8,8,"AutoZone Park","default_grass.jpg","default_grass.jpg",0,15000,0,0,0,0,"","",1
37,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,37,41,50,59,67,75,79,78,71,60,49,41,3,4,4,4,3,3,3,3,3,3,3,3,8,6,325,360,380,400,380,360,325,8,8,8,8,8,8,8,"Herschel Greer Stadium","default_grass.jpg","default_grass.jpg",0,15000,0,0,0,0,"","",1
38,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,53,56,62,68,76,81,83,83,79,70,61,55,3,3,3,3,3,4,3,5,3,2,3,3,8,4,325,360,380,400,380,360,325,8,8,8,8,8,8,8,"Zephyr Field","default_grass.jpg","default_grass.jpg",0,15000,0,0,0,0,"","",1
39,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,37,42,51,60,68,77,82,81,73,62,49,40,2,3,3,3,3,3,3,2,3,3,3,2,12,3,325,360,380,400,380,360,325,8,8,8,8,8,8,8,"Redhawks Field","default_grass.jpg","default_grass.jpg",0,15000,0,0,0,0,"","",1
40,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,22,28,39,51,62,72,77,75,65,53,38,26,2,3,3,3,4,4,3,3,3,2,3,2,11,2,325,360,380,400,380,360,325,8,8,8,8,8,8,8,"Werner Park","default_grass.jpg","default_grass.jpg",0,15000,0,0,0,0,"","",1
41,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,34,39,43,49,56,65,71,70,62,52,41,34,2,3,3,2,2,1,1,1,1,1,2,2,7,3,325,360,380,400,380,360,325,8,8,8,8,8,8,8,"Aces Ballpark","default_grass.jpg","default_grass.jpg",0,15000,0,0,0,0,"","",1
42,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,42,45,49,53,60,69,76,76,69,58,49,44,2,1,1,2,1,1,0,0,1,2,2,2,11,4,325,360,380,400,380,360,325,8,8,8,8,8,8,8,"Dell Diamond","default_grass.jpg","default_grass.jpg",0,15000,0,0,0,0,"","",1
43,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,46,51,55,59,66,72,75,75,72,64,53,46,3,3,3,2,1,0,0,0,0,1,3,3,8,2,325,360,380,400,380,360,325,8,8,8,8,8,8,8,"Raley Field","default_grass.jpg","default_grass.jpg",0,15000,0,0,0,0,"","",1
44,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,42,45,49,53,60,69,76,76,69,58,49,44,2,1,1,2,1,1,0,0,1,2,2,2,11,2,325,360,380,400,380,360,325,8,8,8,8,8,8,8,"Spring Mobile Ballpark","default_grass.jpg","default_grass.jpg",0,15000,0,0,0,0,"","",1
45,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,41,43,46,50,56,61,65,66,61,53,45,41,7,6,6,5,3,3,3,2,3,4,7,7,9,4,325,360,380,400,380,360,325,8,8,8,8,8,8,8,"Cheney Stadium","default_grass.jpg","default_grass.jpg",0,15000,0,0,0,0,"","",1
46,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,52,55,59,66,75,84,87,85,81,71,59,52,2,2,2,1,1,1,1,3,2,1,1,2,8,6,325,360,380,400,380,360,325,8,8,8,8,8,8,8,"Kino Veterans Memorial Stadium","default_grass.jpg","default_grass.jpg",0,15000,0,0,0,0,"","",1
47,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,25,26,34,45,57,66,71,69,62,51,40,30,7,7,6,5,4,4,3,3,4,4,6,7,12,0,325,360,380,400,380,360,325,8,8,8,8,8,8,8,"Coca-Cola Field","default_grass.jpg","default_grass.jpg",0,15000,0,0,0,0,"","",1
48,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,42,45,53,61,69,77,80,79,73,62,52,44,3,3,4,3,3,3,3,3,3,3,3,3,7,2,325,360,380,400,380,360,325,8,8,8,8,8,8,8,"Knights Stadium","default_grass.jpg","default_grass.jpg",0,15000,0,0,0,0,"","",1
49,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,28,32,42,52,63,71,75,74,67,55,44,34,5,4,4,4,4,4,3,3,3,3,4,4,8,4,325,360,380,400,380,360,325,8,8,8,8,8,8,8,"Huntington Park","default_grass.jpg","default_grass.jpg",0,15000,0,0,0,0,"","",1
50,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,42,45,49,53,60,69,76,76,69,58,49,44,2,1,1,2,1,1,0,0,1,2,2,2,11,0,325,360,380,400,380,360,325,8,8,8,8,8,8,8,"Durham Bulls Athletic Park","default_grass.jpg","default_grass.jpg",0,15000,0,0,0,0,"","",1
51,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,42,45,49,53,60,69,76,76,69,58,49,44,2,1,1,2,1,1,0,0,1,2,2,2,11,2,325,360,380,400,380,360,325,8,8,8,8,8,8,8,"Coolray Field","default_grass.jpg","default_grass.jpg",0,15000,0,0,0,0,"","",1
52,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,27,31,42,52,63,72,75,74,66,55,43,32,4,3,4,4,4,3,3,3,3,3,3,4,10,7,325,360,380,400,380,360,325,8,8,8,8,8,8,8,"Victory Field","default_grass.jpg","default_grass.jpg",0,15000,0,0,0,0,"","",1
53,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,42,45,49,53,60,69,76,76,69,58,49,44,2,1,1,2,1,1,0,0,1,2,2,2,11,4,325,360,380,400,380,360,325,8,8,8,8,8,8,8,"Coca-Cola Park","default_grass.jpg","default_grass.jpg",0,15000,0,0,0,0,"","",1
