coach_id,first_name,last_name,nick_name,age,date_of_birth,city_of_birth_id,nation_id,weight,height,position,experience,occupation,team_id,former_player_id,quick_left,contract_salary,contract_years,contract_extension_salary,contract_extension_years,scout_major,scout_minor,scout_international,scout_amateur,scout_amateur_preference,teach_hitting,teach_pitching,teach_c,teach_if,teach_of,handle_veterans,handle_rookies,handle_players,heal_legs,heal_arms,heal_back,heal_other,heal_rest,management_style,personality,hitting_focus,pitching_focus,training_focus,teach_running,prevent_legs,prevent_arms,prevent_back,prevent_other,stealing,running,pinchrun,pinchhit_pos,pinchhit_pitch,hook_start,hook_relief,closer,lr_matchup,bunt_hit,bunt,hit_run,run_hit,squeeze,pitch_around,intentional_walk,hold_runner,guard_lines,infield_in,outfield_in,corners_in,shift_if,shift_of,opener,num_pitchers,num_hitters,favor_speed_to_power,favor_avg_to_obp,favor_defense_to_offense,favor_pitching_to_hitting,favor_veterans_to_prospects,trade_aggressiveness,player_loyalty,trade_frequency,trade_preference,value_stats,value_this_year,value_last_year,value_two_years,draft_value,intl_fa_value,develop_value,ratings_value,manager_value,pitching_coach_value,hitting_coach_value,scout_value,doctor_value,basecoach_value,positive_relation,negative_relation
11,"Brad","Mills","",55,"1957-1-19",24360,206,195,183,1,2,2,20,0,0,840000,3,0,0,0,0,0,0,0,76,76,76,76,76,76,76,76,0,0,0,0,0,1,4,0,0,0,76,0,0,0,0,1,-1,0,-1,-1,0,1,2,-1,0,-1,0,1,1,-1,-1,-1,1,0,0,1,0,1,-3,0,0,-1,-3,1,-3,-5,-3,1,-2,-1,5,9,3,3,-1,2,8,7,101,76,76,0,0,63,-1,-1
12,"Ned","Yost","",57,"1954-8-19",24286,206,190,185,1,8,2,6,0,0,840000,3,0,0,0,0,0,0,0,124,124,124,124,124,124,124,124,0,0,0,0,0,5,2,0,0,0,124,0,0,0,0,3,2,3,3,3,-3,-1,-2,3,1,-1,0,0,1,2,1,0,3,2,3,3,2,3,1,0,0,0,-7,-3,-3,-2,1,1,0,0,7,7,5,1,-2,5,-4,1,156,124,124,0,0,103,-1,-1
13,"Mike","Scioscia","",53,"1958-11-27",0,206,220,188,1,12,2,7,0,0,840000,3,0,0,0,0,0,0,0,156,156,156,156,156,156,156,156,0,0,0,0,0,3,4,0,0,0,156,0,0,0,0,2,0,2,1,3,1,0,2,1,1,3,3,3,3,0,2,-1,1,0,1,1,-1,0,-3,0,0,-3,1,-3,0,1,-3,1,0,0,6,8,3,3,-7,-1,3,-1,226,156,156,0,0,130,-1,-1
14,"Don","Mattingly","Donnie Baseball",50,"1961-4-20",24313,206,175,183,1,1,2,21,0,0,840000,3,0,0,0,0,0,0,0,68,68,68,68,68,68,68,68,0,0,0,0,0,1,0,0,0,0,68,0,0,0,0,0,0,-1,0,1,0,0,2,1,1,1,0,1,-1,0,1,1,1,-1,1,0,1,1,-3,0,0,4,-4,-3,3,-1,0,3,2,0,6,7,4,3,-9,-2,6,0,83,68,68,0,0,56,-1,-1
15,"Ozzie","Guillen","",48,"1964-1-20",56780,210,150,180,1,8,2,22,0,0,840000,3,0,0,0,0,0,0,0,124,124,124,124,124,124,124,124,0,0,0,0,0,1,1,0,0,0,124,0,0,0,0,0,-1,0,0,1,1,-1,3,-1,-1,1,1,1,0,-1,1,0,-1,0,1,1,0,1,-3,0,0,2,-2,0,5,-3,-3,1,0,-1,6,6,5,3,5,2,8,6,186,124,124,0,0,103,-1,-1
16,"Ron","Roenicke","",55,"1956-8-19",15445,206,180,183,1,1,2,23,0,0,840000,3,0,0,0,0,0,0,0,68,68,68,68,68,68,68,68,0,0,0,0,0,3,1,0,0,0,68,0,0,0,0,2,0,3,3,2,1,1,2,1,1,3,3,2,3,0,1,0,0,0,2,1,0,1,-3,0,0,5,-3,-1,2,4,3,3,-2,0,7,7,3,3,3,0,-1,-4,83,68,68,0,0,56,-1,-1
17,"Ron","Gardenhire","",54,"1957-10-24",12895,74,175,183,1,10,2,8,0,0,840000,3,0,0,0,0,0,0,0,141,140,140,140,140,140,140,140,0,0,0,0,0,5,2,0,0,0,140,0,0,0,0,3,2,2,3,3,-1,-1,0,3,0,1,-1,1,0,1,3,-1,3,2,3,2,3,3,0,0,0,2,5,1,-2,-4,-1,3,-2,-1,8,8,3,1,4,-1,1,2,211,140,141,0,0,116,-1,-1
18,"Joe","Girardi","",47,"1964-10-14",63646,206,195,180,1,5,2,9,0,0,840000,3,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,0,0,0,0,0,1,2,0,0,0,100,0,0,0,0,1,-1,1,0,-1,1,1,3,-1,-1,1,1,0,1,1,0,1,1,1,0,0,1,-1,-3,0,0,0,0,1,5,-1,-5,1,-1,0,5,9,3,3,2,-2,2,4,143,100,100,0,0,83,-1,-1
19,"Terry","Collins","",62,"1949-5-27",0,206,158,175,1,7,2,24,0,0,840000,3,0,0,0,0,0,0,0,116,116,116,116,116,116,116,116,0,0,0,0,0,3,2,0,0,0,116,0,0,0,0,3,1,1,2,2,2,0,2,1,3,3,3,3,2,0,1,1,0,0,1,0,-2,-1,-3,0,0,-1,-2,0,5,5,-6,1,-1,0,6,9,4,1,2,1,3,-6,148,116,116,0,0,96,-1,-1
20,"Bob","Melvin","",50,"1961-10-28",62386,206,205,193,1,8,2,10,0,0,840000,3,0,0,0,0,0,0,0,124,124,124,124,124,124,124,124,0,0,0,0,0,1,2,0,0,0,124,0,0,0,0,0,0,1,1,-1,1,0,3,-1,1,0,1,-1,0,1,0,-1,-1,-1,0,1,0,0,-3,0,0,0,-3,0,4,1,5,2,-2,0,5,10,3,2,1,3,1,-6,166,124,124,0,0,103,-1,-1
21,"Charlie","Manuel","",68,"1944-1-4",0,206,200,193,1,10,2,25,0,0,840000,3,0,0,0,0,0,0,0,140,140,140,140,140,140,140,140,0,0,0,0,0,1,0,0,0,0,140,0,0,0,0,-1,0,0,1,-1,-1,0,3,1,-1,-1,0,-1,0,0,0,1,-1,1,-1,-1,1,-1,-3,0,0,-4,0,5,5,0,1,3,-1,0,5,7,4,4,-1,-3,-6,-1,221,140,140,0,0,116,-1,-1
22,"Clint","Hurdle","",54,"1957-7-30",9383,206,195,191,1,9,2,26,0,0,840000,3,0,0,0,0,0,0,0,132,132,132,132,132,132,132,132,0,0,0,0,0,1,3,0,0,0,132,0,0,0,0,1,-1,1,1,0,-1,-1,3,-1,1,1,-1,0,0,1,-1,1,-1,-1,0,-1,0,0,-3,0,0,-1,-2,-1,-2,0,7,2,-1,0,6,8,3,3,4,3,0,-3,163,132,132,0,0,110,-1,-1
23,"Buddy","Black","",54,"1957-6-30",70404,206,180,188,1,5,2,27,0,0,840000,3,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,0,0,0,0,0,1,1,0,0,0,100,0,0,0,0,-1,0,0,0,-1,-1,0,3,-1,0,-1,1,0,1,-1,0,-1,0,1,0,1,-1,0,-4,0,0,-3,-2,-1,-4,3,-3,1,0,0,5,9,5,1,-8,1,0,2,143,100,100,0,0,83,-1,-1
24,"Eric","Wedge","",44,"1968-1-27",25148,206,215,191,1,8,2,11,0,0,840000,3,0,0,0,0,0,0,0,124,124,124,124,124,124,124,124,0,0,0,0,0,1,3,0,0,0,124,0,0,0,0,0,0,-1,-1,-1,1,-1,3,0,0,-1,0,-1,0,1,0,-1,0,-1,-1,1,0,-1,-3,0,0,3,2,-3,4,-1,-1,1,2,0,6,8,3,3,2,8,0,-1,166,124,124,0,0,103,-1,-1
25,"Bruce","Bochy","",56,"1955-4-16",0,70,210,193,1,17,2,28,0,0,840000,3,0,0,0,0,0,0,0,196,196,196,196,196,196,196,196,0,0,0,0,0,1,4,0,0,0,196,0,0,0,0,0,1,-1,-1,0,-1,1,2,-1,-1,1,-1,0,1,-1,0,1,1,-1,1,-1,-1,1,-3,0,0,-9,-1,-1,2,4,-4,0,-1,0,4,10,6,0,4,5,-1,-1,250,196,196,0,0,163,-1,-1
26,"Mike","Matheny","",41,"1970-9-22",14625,206,205,191,1,0,2,29,0,0,840000,3,0,0,0,0,0,0,0,60,60,60,60,60,60,60,60,0,0,0,0,0,1,1,0,0,0,60,0,0,0,0,0,-1,0,-1,0,1,1,3,-1,1,0,-1,1,0,1,1,-1,0,-1,1,-1,1,-1,-3,0,0,-4,3,-5,0,0,-2,2,1,0,7,9,3,1,2,-3,-8,-6,66,60,60,0,0,50,-1,-1
27,"Joe","Maddon","",57,"1954-9-19",31150,206,190,180,1,8,2,12,0,0,840000,3,0,0,0,0,0,0,0,124,124,124,124,124,124,124,124,0,0,0,0,0,2,3,0,0,0,124,0,0,0,0,-3,2,3,1,3,0,-3,-3,3,-3,-3,-3,-1,-3,-1,-3,-1,0,-1,0,0,3,3,-1,0,0,3,-6,-2,3,-3,-5,2,0,-1,5,8,4,3,-7,-4,1,-2,196,124,124,0,0,103,-1,-1
28,"Ron","Washington","",59,"1952-4-29",55156,206,163,180,1,5,2,13,0,0,840000,3,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,0,0,0,0,0,1,2,0,0,0,100,0,0,0,0,0,0,0,0,1,0,-1,2,-1,0,0,0,1,-1,1,0,-1,1,1,0,-1,-1,1,-3,0,0,2,-3,2,-2,-1,-9,1,-2,0,6,6,5,3,0,0,2,-4,143,100,100,0,0,83,-1,-1
29,"John","Farrell","",49,"1962-8-4",51250,206,210,193,1,1,2,14,0,0,840000,3,0,0,0,0,0,0,0,68,68,68,68,68,68,68,68,0,0,0,0,0,1,2,0,0,0,68,0,0,0,0,-1,1,-1,-1,-1,-1,1,3,0,-1,1,1,0,1,-1,1,1,-1,-1,0,0,1,-1,-3,0,0,-3,0,3,5,-4,2,2,0,-1,5,8,4,3,-4,5,-4,7,83,68,68,0,0,56,-1,-1
30,"Davey","Johnson","",69,"1943-1-30",57649,206,180,185,1,15,2,30,0,0,840000,3,0,0,0,0,0,0,0,180,180,180,180,180,180,180,180,0,0,0,0,0,2,4,0,0,0,180,0,0,0,0,-2,3,2,3,3,-1,-1,-3,3,-3,-3,-2,-2,-3,-2,-3,-1,0,-1,-1,-1,3,3,-1,0,0,-5,-1,5,4,-4,-4,1,-1,-1,5,8,5,2,-4,-7,0,0,228,180,180,0,0,150,-1,-1
31,"David","Jaramillo","",36,"1975-5-12",14445,206,190,186,2,0,3,0,0,0,0,0,0,0,1,36,0,38,3,123,111,163,123,140,150,127,134,0,0,0,0,0,3,4,3,3,0,106,0,0,0,0,3,0,2,1,3,1,0,1,0,3,3,3,2,2,2,2,1,0,0,0,0,-1,0,-3,0,0,4,-4,2,-4,1,8,1,2,0,6,8,4,2,0,4,3,8,130,118,127,21,0,136,4,1
32,"Mike","Calpin","",46,"1965-12-11",12314,206,200,197,10,15,14,0,0,0,0,0,0,0,12,16,17,14,4,71,65,154,130,109,100,117,102,0,0,0,0,0,0,2,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,1,-4,0,-4,2,2,0,6,7,5,2,-3,5,1,1,139,75,80,14,0,120,0,2
33,"Joe","Shepherd","",51,"1961-2-20",69137,206,200,190,10,10,14,0,0,0,0,0,0,0,19,34,20,45,0,58,60,147,132,109,78,80,109,0,0,0,0,0,0,1,3,3,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-10,-7,-1,-2,7,3,0,0,5,10,3,2,-1,3,3,5,125,67,66,31,0,115,1,4
34,"Tony","Rudd","",36,"1975-8-15",56092,206,220,186,3,5,1,0,0,0,0,0,0,0,3,9,11,10,4,25,23,30,5,28,10,37,27,0,0,0,0,0,0,4,1,3,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-2,3,0,0,2,0,0,7,6,5,2,5,-3,3,-4,45,23,25,8,0,29,1,4
35,"Travis","Farrell","",42,"1969-4-14",41955,206,205,186,8,4,12,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,66,106,132,74,196,0,4,3,3,2,0,57,63,115,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,-5,2,-4,0,0,0,-1,7,8,5,0,2,-1,0,5,40,0,0,0,103,0,0,1
36,"David","Lovato","",31,"1980-7-2",22965,210,210,195,5,0,5,0,0,0,0,0,0,0,14,15,6,23,2,94,19,13,34,33,99,84,124,0,0,0,0,0,0,2,1,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-8,5,4,6,2,1,0,0,6,7,7,0,-3,-1,-1,7,51,40,96,16,0,42,3,0
37,"Brian","Koll","",36,"1975-9-14",18111,206,230,196,4,0,4,0,0,0,0,0,0,0,14,6,19,3,1,29,107,62,23,65,113,91,86,0,0,0,0,0,4,2,3,3,0,67,0,0,0,0,-3,2,-3,-3,0,2,1,0,-2,1,2,3,3,-3,3,-3,1,-3,2,-1,-1,-2,3,1,0,0,4,4,3,-2,-2,3,3,-1,0,5,8,5,2,2,8,-8,4,70,104,46,9,0,57,4,1
38,"Bill","Harrison","",56,"1955-5-4",36480,206,175,172,2,23,3,0,0,0,0,0,0,0,24,6,19,15,2,86,107,163,142,174,101,155,162,0,0,0,0,0,5,4,3,1,0,119,0,0,0,0,1,2,3,3,4,-3,-2,-2,3,0,0,-1,1,0,2,3,-1,3,2,3,3,3,3,1,0,0,-8,0,-6,-4,-2,-2,1,2,0,8,6,5,1,1,-1,0,2,174,115,99,16,0,148,3,4
39,"Josh","Parks","",37,"1974-11-3",75709,206,210,179,10,0,14,0,0,0,0,0,0,0,28,31,34,34,1,50,36,88,97,80,78,50,71,0,0,0,0,0,3,2,3,3,0,60,0,0,0,0,2,1,3,1,2,0,1,1,-1,1,4,3,3,3,0,0,1,1,1,2,2,-1,-1,-3,0,0,-4,-3,2,4,0,-8,5,2,0,6,9,4,1,4,-1,6,-1,74,44,54,31,0,75,1,0
40,"Gregorio","Velasquez","",32,"1979-10-11",56028,206,195,175,10,0,14,0,0,0,0,0,0,0,14,5,12,2,3,39,30,86,69,90,60,56,73,0,0,0,0,0,0,2,3,2,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-10,-1,0,4,-5,0,1,0,6,8,4,2,2,6,-1,-4,68,38,45,8,0,70,4,1
41,"Francisco","Moyao","",35,"1976-7-24",22965,210,215,183,3,2,1,0,0,0,0,0,0,0,11,12,21,5,3,14,25,20,4,21,10,17,13,0,0,0,0,0,0,2,3,3,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,3,-2,3,0,0,0,6,8,3,3,1,-8,-3,2,26,22,14,10,0,14,0,4
42,"Antonio","Guerra","",53,"1958-3-10",25226,206,205,184,8,17,12,0,0,0,0,0,0,0,0,0,15,0,4,15,15,15,15,15,0,0,0,113,158,162,117,159,0,3,3,2,2,0,107,23,133,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,-2,5,3,-1,2,4,-1,0,5,8,6,1,1,6,3,-2,70,11,11,2,117,7,3,0
43,"Mike","Kowalczyk","",31,"1980-11-13",29566,206,200,187,5,0,5,0,0,0,0,0,0,0,30,22,43,11,0,164,41,19,36,43,181,169,107,0,0,0,0,0,0,2,3,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,4,7,8,-2,-2,1,0,0,5,8,5,2,4,-6,6,-5,72,69,161,23,0,50,0,2
44,"Rich","McColl","",53,"1958-3-12",25164,206,240,196,4,19,4,0,0,0,0,0,0,0,16,35,25,25,3,14,160,6,26,27,130,169,105,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-7,5,-10,2,-4,3,-2,0,7,9,2,2,7,-4,-3,-5,99,154,44,24,0,40,4,0
45,"Sean","Cox","",53,"1958-7-25",57383,206,205,191,2,13,3,9,0,0,175000,3,0,0,2,19,0,24,3,95,90,112,131,121,120,107,108,0,0,0,0,0,1,3,0,3,0,125,0,0,0,0,0,1,1,0,-1,-1,1,3,0,1,-1,1,1,0,1,-1,0,-1,0,-1,0,-1,-1,-3,0,0,-3,-2,-6,-2,-1,-1,3,0,0,6,9,3,2,-4,-2,8,4,145,95,99,13,0,118,2,1
46,"Justin","Seaver","",50,"1961-11-7",69776,206,230,192,10,19,14,0,0,0,0,0,0,0,34,23,45,37,4,60,58,120,97,98,117,78,95,0,0,0,0,0,0,1,0,3,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-5,-2,-3,6,2,3,-1,0,5,8,5,2,0,4,0,9,134,68,69,34,0,100,4,0
47,"John","Brady","",49,"1963-1-28",64158,206,190,184,10,13,15,9,0,0,110000,3,0,0,43,9,49,24,1,44,68,134,86,80,109,84,68,0,0,0,0,0,0,2,3,1,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,-2,-5,6,4,4,0,0,4,9,4,3,-4,2,-4,5,118,73,55,30,0,95,1,3
48,"Mike","Clover","",42,"1969-6-4",50536,206,210,191,3,10,1,9,0,0,520000,3,0,0,15,25,6,25,3,24,27,7,21,12,7,19,8,0,0,0,0,0,0,4,3,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-3,1,0,0,1,0,9,8,2,1,2,0,1,1,46,23,21,20,0,11,2,0
49,"Justin","McMaster","",60,"1952-2-21",22784,206,215,182,8,28,12,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,0,9,0,0,136,176,49,150,84,0,1,1,1,3,0,62,65,106,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,-5,-1,-1,2,-2,0,4,9,6,1,-2,-1,0,0,60,1,1,1,109,0,0,1
50,"Eric","Patterson","",39,"1972-7-16",29498,206,230,190,5,7,5,0,0,0,0,0,0,0,3,12,11,15,2,87,45,17,23,5,106,103,60,0,0,0,0,0,0,0,2,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,2,-2,3,3,-1,0,6,7,4,3,-8,-2,-1,0,60,56,88,10,0,31,1,4
51,"Brad","Calvert","",44,"1967-12-3",4892,206,210,184,4,4,4,0,0,0,0,0,0,0,18,16,22,28,1,7,122,4,27,6,107,120,100,0,0,0,0,0,0,2,3,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-3,3,-8,5,-3,1,1,0,7,7,5,1,-1,-9,-4,-5,58,119,33,21,0,33,3,1
52,"Justin","Lowell","",41,"1970-5-4",25829,206,195,186,2,1,3,0,0,0,0,0,0,0,5,3,10,0,1,63,76,103,113,97,85,83,79,0,0,0,0,0,1,1,3,3,0,94,0,0,0,0,-1,1,1,0,-1,0,-1,3,0,1,-1,0,0,-1,0,0,0,0,-1,0,-1,-1,1,-3,0,0,0,0,-2,-5,-1,3,1,1,0,5,7,6,2,-8,-2,3,4,94,78,68,3,0,92,0,4
53,"Eric","Brown","",50,"1961-3-13",6496,206,210,184,10,18,14,0,0,0,0,0,0,0,30,24,22,9,0,71,83,172,183,187,136,107,115,0,0,0,0,0,0,3,3,1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-10,-7,2,4,3,2,-2,0,7,9,2,2,6,0,2,7,172,92,83,21,0,149,2,4
54,"Barry","Keisler","",30,"1981-8-2",48573,206,200,185,10,0,14,0,0,-2,0,0,0,0,53,45,55,65,2,59,87,146,134,161,116,138,110,0,0,0,0,0,0,2,3,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-2,-6,4,-4,-1,4,2,-1,5,7,6,2,-4,4,-1,-6,120,96,75,55,0,135,0,4
55,"Ryan","Conway","",36,"1975-10-9",25827,206,190,188,3,4,1,0,0,0,0,0,0,0,5,24,0,18,4,20,24,25,31,24,13,3,10,0,0,0,0,0,0,2,3,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-5,5,1,-2,-5,3,-1,0,7,8,3,2,-5,5,5,0,40,20,17,13,0,18,0,4
56,"Sal","Martinez","",38,"1973-12-3",21777,206,215,199,8,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,172,181,65,67,57,0,2,1,3,3,0,118,166,67,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,1,5,0,-7,3,-1,0,8,8,3,1,0,0,2,0,40,0,0,0,107,0,4,0
57,"Daniel","Sturgill","",47,"1964-4-26",18936,206,220,191,5,16,5,0,0,0,0,0,0,0,17,7,21,0,2,96,9,30,3,29,99,95,107,0,0,0,0,0,0,4,3,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,10,0,5,-1,1,1,0,6,9,3,2,-2,-2,1,-4,87,32,97,10,0,35,4,0
