player_id,team_id,league_id,position,role,batting_ratings_overall_contact,batting_ratings_overall_gap,batting_ratings_overall_eye,batting_ratings_overall_strikeouts,batting_ratings_overall_hp,batting_ratings_overall_power,batting_ratings_overall_babip,batting_ratings_vsr_contact,batting_ratings_vsr_gap,batting_ratings_vsr_eye,batting_ratings_vsr_strikeouts,batting_ratings_vsr_hp,batting_ratings_vsr_power,batting_ratings_vsr_babip,batting_ratings_vsl_contact,batting_ratings_vsl_gap,batting_ratings_vsl_eye,batting_ratings_vsl_strikeouts,batting_ratings_vsl_hp,batting_ratings_vsl_power,batting_ratings_vsl_babip,batting_ratings_talent_contact,batting_ratings_talent_gap,batting_ratings_talent_eye,batting_ratings_talent_strikeouts,batting_ratings_talent_hp,batting_ratings_talent_power,batting_ratings_talent_babip,batting_ratings_misc_bunt,batting_ratings_misc_bunt_for_hit,batting_ratings_misc_gb_hitter_type,batting_ratings_misc_fb_hitter_type
30,13,100,1,11,7,20,27,22,4,31,40,7,20,27,22,4,31,40,7,20,27,22,4,31,40,10,23,27,26,4,31,29,13,70,2,0
31,45,101,1,11,4,20,27,22,4,31,16,4,20,27,22,4,31,16,4,20,28,22,4,31,16,6,20,27,22,4,31,29,75,112,2,1
32,1,100,1,11,4,20,28,22,4,31,19,4,21,29,22,4,32,19,4,17,22,22,4,28,17,7,23,28,29,4,31,8,196,36,0,0
33,60,102,1,11,4,20,28,22,4,31,18,4,21,29,22,4,32,18,4,18,22,22,4,29,17,7,23,30,24,4,31,24,6,43,2,0
34,207,115,1,12,6,20,27,22,4,31,31,6,20,27,22,4,31,31,6,21,28,22,4,32,32,6,21,27,22,4,31,31,54,4,2,0
35,87,105,8,0,84,71,107,142,10,15,93,84,71,107,142,10,15,93,84,72,108,142,10,15,93,84,71,107,142,10,15,93,41,143,0,0
36,46,101,1,11,10,38,27,23,4,22,50,10,38,27,23,4,22,50,10,39,27,23,4,22,50,10,48,27,23,4,22,59,161,79,1,0
37,14,100,1,12,6,20,27,22,4,31,31,6,20,27,22,4,31,31,6,20,27,22,4,31,31,6,20,27,22,4,31,31,60,88,0,0
38,41,101,8,0,94,131,59,102,3,51,114,91,120,60,96,3,49,114,110,174,53,117,3,59,115,119,133,76,102,5,108,114,22,81,0,0
39,11,100,1,11,4,20,27,22,4,31,20,4,19,27,22,4,31,20,4,21,28,22,4,32,20,4,20,27,22,4,31,24,160,25,0,1
40,0,0,2,0,19,36,53,37,4,31,39,19,35,52,37,4,31,39,20,41,55,38,4,32,40,19,36,53,37,8,31,86,8,9,2,2
41,0,0,5,0,19,38,54,38,4,31,39,20,41,56,38,4,32,40,18,29,46,36,4,29,37,19,38,54,38,4,31,60,7,79,0,1
42,0,0,1,12,6,20,27,22,4,31,31,6,19,27,22,4,31,31,6,21,28,22,4,32,32,6,20,27,22,4,31,27,45,116,0,1
43,0,0,1,12,6,20,27,22,4,31,31,6,20,27,22,4,31,31,6,20,27,22,4,31,31,6,20,27,22,4,31,160,52,15,0,2
44,0,0,1,12,6,20,27,22,4,31,31,6,20,27,22,4,31,31,6,20,28,22,4,31,31,6,20,27,22,4,31,38,56,92,2,0
45,0,0,8,0,19,36,53,37,4,31,38,19,31,49,37,4,31,38,19,52,66,37,4,32,39,19,36,53,37,1,31,143,10,50,0,0
46,0,0,1,12,6,20,27,22,4,31,31,6,20,27,22,4,31,31,6,20,28,22,4,31,31,6,20,27,22,4,31,52,54,28,0,0
47,0,0,1,12,6,20,27,22,4,31,31,6,20,27,22,4,31,31,6,20,28,22,4,31,31,6,20,27,22,4,31,31,60,35,2,2
48,0,0,1,12,6,20,27,22,4,31,31,6,19,27,22,4,31,31,6,21,28,22,4,32,32,6,20,27,22,4,31,31,59,73,1,0
49,0,0,1,12,6,20,27,22,4,31,31,6,20,27,22,4,31,31,6,20,28,22,4,31,31,6,20,27,22,4,31,31,44,99,1,0
50,0,0,8,0,19,38,53,37,4,32,39,19,35,49,36,4,32,39,20,45,66,40,4,34,39,19,38,53,37,7,32,88,10,67,0,0
51,0,0,1,12,6,20,27,22,4,31,31,6,20,27,22,4,31,31,6,20,27,22,4,31,31,6,20,27,22,4,31,31,50,117,1,2
52,0,0,1,12,6,20,27,22,4,31,31,6,20,27,22,4,31,31,6,20,28,22,4,31,31,6,20,27,22,4,31,155,59,105,2,0
53,0,0,2,0,19,36,53,37,4,31,39,19,35,52,37,4,31,39,19,39,55,37,4,32,40,19,36,53,37,4,31,37,7,117,0,0
54,0,0,2,0,19,36,53,37,4,31,39,19,35,52,37,4,31,39,20,41,55,38,4,32,40,19,36,53,37,4,31,37,9,41,1,0
55,0,0,1,12,6,20,28,22,4,31,31,6,21,29,22,4,32,32,5,18,22,22,4,29,29,6,20,28,22,4,31,120,53,46,1,1
56,0,0,5,0,19,36,53,37,4,31,39,19,36,53,37,4,31,39,19,38,54,37,4,31,39,19,36,53,37,8,31,112,10,118,2,0
57,0,0,1,12,6,20,27,22,4,31,31,6,20,27,22,4,31,31,6,20,27,22,4,31,31,6,20,27,22,6,31,37,60,18,1,0
58,0,0,1,12,6,20,27,22,4,31,31,6,20,27,22,4,31,31,6,20,28,22,4,32,31,6,20,27,22,4,31,20,43,84,0,0
59,0,0,1,12,6,20,27,22,4,31,31,6,19,27,22,4,31,31,6,21,28,22,4,32,32,6,20,27,22,5,31,74,51,34,1,2
60,0,0,4,0,19,36,53,37,4,31,39,19,35,52,37,4,31,39,20,41,55,38,4,32,40,19,36,53,37,4,31,35,9,34,1,0
61,0,0,1,12,6,20,27,22,4,31,31,6,20,27,22,4,31,31,6,20,28,22,4,31,31,6,20,27,22,4,31,43,47,101,1,1
62,0,0,3,0,19,36,53,37,4,31,39,19,35,52,37,4,31,39,20,41,55,38,4,32,40,19,36,53,37,4,31,58,9,78,1,2
63,0,0,2,0,19,36,53,37,4,31,39,19,36,53,37,4,31,39,19,38,54,37,4,31,39,19,36,53,37,4,31,39,8,34,2,2
64,0,0,4,0,19,38,53,37,4,31,39,19,35,49,37,4,30,39,19,49,66,36,4,33,39,19,38,53,37,2,31,94,9,102,2,1
65,0,0,6,0,19,36,54,37,4,31,39,19,31,56,37,4,32,39,19,52,46,39,4,27,39,19,36,54,37,4,31,117,6,102,0,0
66,0,0,1,12,6,20,27,22,4,31,32,6,21,28,22,4,32,32,6,18,23,22,4,29,30,6,20,27,22,4,31,56,58,67,0,2
67,0,0,2,0,19,36,53,37,4,31,39,19,35,52,37,4,31,39,19,39,55,37,4,32,40,19,36,53,37,4,31,55,10,57,0,1
68,0,0,1,12,6,20,27,22,4,31,31,6,20,27,22,4,31,31,6,20,27,22,4,31,31,6,20,27,22,7,31,127,47,27,1,1
69,0,0,1,12,6,20,28,22,4,31,31,6,21,29,22,4,32,32,5,17,22,22,4,28,29,6,20,28,22,4,31,33,44,19,0,0
70,0,0,8,0,19,36,53,37,4,31,39,19,35,52,37,4,31,39,19,39,55,37,4,32,40,19,36,53,37,4,31,31,8,23,0,0
71,0,0,1,12,6,20,27,22,4,31,31,6,20,27,22,4,31,31,6,20,27,22,4,31,31,6,20,27,22,4,31,29,46,29,0,2
72,0,0,4,0,19,36,53,37,4,31,39,19,36,53,37,4,31,39,19,38,54,37,4,31,39,19,36,53,37,4,31,81,8,89,2,1
73,0,0,1,12,6,20,27,22,4,31,31,6,20,27,22,4,31,31,6,20,28,22,4,32,31,6,20,27,22,4,31,31,49,113,0,0
74,0,0,1,12,6,20,27,22,4,31,31,6,20,27,22,4,31,31,6,20,27,22,4,31,31,6,20,27,22,6,31,46,54,59,2,2
75,0,0,1,12,6,20,28,22,4,31,31,6,21,29,22,4,32,32,5,17,22,22,4,28,29,6,20,28,22,4,31,18,57,46,0,2
76,0,0,7,0,19,36,53,37,4,31,39,19,36,53,37,4,31,39,19,38,54,37,4,31,39,19,36,53,37,2,31,84,10,70,0,1
77,0,0,1,12,6,20,27,22,4,31,31,6,20,27,22,4,31,31,6,20,28,22,4,31,31,6,20,27,22,4,31,1,52,113,2,0
78,0,0,8,0,19,36,53,37,4,31,39,19,39,54,36,4,30,39,19,30,49,40,4,35,38,19,36,53,37,5,31,81,9,101,0,0
79,0,0,9,0,19,36,53,37,4,31,39,19,31,49,38,4,32,39,18,52,66,33,4,27,38,19,36,53,37,2,31,123,10,23,1,0
80,0,0,1,12,6,20,27,22,4,31,31,6,20,27,22,4,31,31,6,20,27,22,4,31,31,6,20,27,22,4,31,40,41,111,0,0
81,0,0,1,12,6,20,27,22,4,31,31,6,20,27,22,4,31,31,6,20,28,22,4,32,31,6,20,27,22,4,31,43,58,3,0,1
82,7,100,7,0,79,115,139,86,1,92,97,83,123,149,89,1,97,97,71,88,112,74,1,79,97,79,115,139,86,1,92,97,7,113,0,2
83,0,0,4,0,19,36,53,37,4,31,39,19,36,53,37,4,31,39,19,38,54,37,4,31,39,19,36,53,37,4,31,39,10,120,1,0
84,0,0,3,0,19,36,53,37,4,31,39,19,36,53,37,4,31,39,19,38,54,37,4,31,39,19,36,53,37,4,31,91,10,75,0,0
85,0,0,1,12,6,20,27,22,4,31,31,6,20,27,22,4,31,31,6,20,27,22,4,31,31,6,20,27,22,4,31,58,43,43,0,0
86,0,0,1,11,6,20,27,22,4,31,31,6,20,27,22,4,31,31,6,20,27,22,4,31,31,6,20,27,22,2,31,42,42,9,1,2
87,0,0,1,12,6,20,27,22,4,31,31,6,20,27,22,4,31,31,6,20,28,22,4,31,31,6,20,27,22,4,31,43,53,36,2,0
88,0,0,1,12,6,20,27,22,4,31,31,6,20,27,22,4,31,31,6,20,27,22,4,31,31,6,20,27,22,6,31,20,46,65,0,2
89,0,0,1,12,6,20,28,22,4,31,31,6,21,29,22,4,32,32,5,17,22,22,4,28,29,6,20,28,22,4,31,42,53,61,0,1
90,0,0,1,12,6,20,27,22,4,31,31,6,20,27,22,4,31,31,6,20,27,22,4,31,31,6,20,27,22,4,31,24,53,49,0,0
91,0,0,1,12,6,20,27,22,4,31,32,6,21,28,22,4,32,32,6,18,23,22,4,29,30,6,20,27,22,4,31,6,51,73,0,2
92,0,0,1,12,6,20,27,22,4,31,31,6,20,27,22,4,31,31,6,20,28,22,4,32,31,6,20,27,22,4,31,33,54,17,1,1
93,0,0,7,0,19,38,54,38,4,31,39,20,42,58,38,4,32,40,18,28,45,36,4,28,37,19,38,54,38,5,31,98,9,32,0,2
94,0,0,1,12,6,20,27,22,4,31,31,6,20,27,22,4,31,31,6,20,28,22,4,31,31,6,20,27,22,4,31,133,42,41,0,0
95,0,0,1,12,6,20,27,22,4,31,31,6,19,27,22,4,31,31,6,21,28,22,4,32,32,6,20,27,22,4,31,47,50,67,1,0
96,0,0,3,0,19,38,54,37,4,31,39,19,42,58,38,4,32,39,18,27,42,33,4,27,37,19,38,54,37,4,31,110,6,86,1,0
97,0,0,4,0,19,36,53,37,4,31,39,19,31,49,36,4,31,39,20,52,66,41,4,31,40,19,36,53,37,3,31,86,8,117,0,2
98,0,0,2,0,19,36,53,37,4,31,39,19,35,52,37,4,31,39,19,39,55,37,4,32,40,19,36,53,37,2,31,82,10,29,1,0
99,0,0,1,12,6,20,27,22,4,31,31,6,20,27,22,4,31,31,6,20,28,22,4,31,31,6,20,27,22,4,31,32,56,69,1,0
100,0,0,1,12,6,20,27,22,4,31,31,6,20,27,22,4,31,31,6,20,28,22,4,32,31,6,20,27,22,4,31,33,47,11,2,2
101,0,0,7,0,19,36,53,37,4,31,39,19,36,53,37,4,31,39,19,38,54,37,4,31,39,19,36,53,37,4,31,51,8,62,2,2
102,0,0,5,0,19,36,53,37,4,31,39,19,35,52,37,4,31,39,19,39,55,37,4,32,40,19,36,53,37,6,31,47,6,15,0,0
103,0,0,1,12,6,20,27,22,4,31,31,6,20,27,22,4,31,31,6,20,28,22,4,32,31,6,20,27,22,6,31,20,49,60,1,0
104,0,0,1,12,6,20,27,22,4,31,31,6,20,27,22,4,31,31,6,20,27,22,4,31,31,6,20,27,22,6,31,108,48,54,0,0
105,0,0,6,0,19,36,53,37,4,31,39,19,35,52,37,4,31,39,20,41,55,38,4,32,40,19,36,53,37,1,31,96,9,92,0,0
106,0,0,1,12,6,20,27,22,4,31,31,6,19,27,22,4,31,31,6,21,28,22,4,32,32,6,20,27,22,4,31,38,55,52,2,2
107,0,0,1,12,6,20,28,22,4,31,31,6,21,29,22,4,32,32,5,18,22,22,4,29,29,6,20,28,22,4,31,114,43,119,0,0
108,0,0,1,12,6,20,27,22,4,31,31,6,20,27,22,4,31,31,6,20,28,22,4,32,31,6,20,27,22,4,31,31,47,53,1,0
109,0,0,1,12,6,20,27,22,4,31,31,6,20,27,22,4,31,31,6,20,28,22,4,32,31,6,20,27,22,4,31,170,47,108,0,0
110,0,0,8,0,19,36,53,37,4,31,39,19,35,52,37,4,31,39,20,41,55,38,4,32,40,19,36,53,37,4,31,45,6,119,1,1
111,0,0,1,12,6,20,27,22,4,31,31,6,20,27,22,4,31,31,6,20,28,22,4,32,31,6,20,27,22,4,31,18,59,47,1,0
112,0,0,6,0,19,36,53,37,4,31,39,19,35,52,37,4,31,39,20,41,55,38,4,32,40,19,36,53,37,12,31,45,10,106,2,2
113,0,0,1,12,6,20,27,22,4,31,31,6,20,27,22,4,31,31,6,20,28,22,4,32,31,6,20,27,22,4,31,31,55,89,0,0
114,0,0,1,12,6,20,27,22,4,31,31,6,20,27,22,4,31,31,6,20,27,22,4,31,31,6,20,27,22,4,31,18,56,8,1,0
115,0,0,8,0,19,36,53,37,4,31,39,19,35,52,37,4,31,39,19,39,55,37,4,32,40,19,36,53,37,4,31,54,8,111,0,1
116,0,0,1,12,6,20,27,22,4,31,32,6,21,28,22,4,32,32,6,18,23,22,4,29,30,6,20,27,22,4,31,31,47,79,2,0
117,0,0,1,12,6,20,27,22,4,31,31,6,20,27,22,4,31,31,6,20,28,22,4,32,31,6,20,27,22,4,31,28,45,5,2,0
118,0,0,5,0,19,36,53,37,4,31,39,19,36,53,37,4,31,39,19,38,54,37,4,31,39,19,36,53,37,5,31,92,6,22,1,2
119,0,0,4,0,19,36,53,37,4,31,39,19,32,50,36,4,30,39,20,48,62,40,4,34,40,19,36,53,37,0,31,51,10,101,1,0
120,0,0,4,0,19,36,53,37,4,31,39,19,35,52,37,4,31,39,20,41,55,38,4,32,40,19,36,53,37,4,31,36,10,104,1,0
121,0,0,1,12,6,20,27,22,4,31,31,6,20,27,22,4,31,31,6,20,28,22,4,32,31,6,20,27,22,4,31,16,45,73,2,1
122,0,0,2,0,19,36,53,37,4,31,39,19,36,53,37,4,31,39,19,38,54,37,4,31,39,19,36,53,37,4,31,66,8,39,2,2
123,0,0,1,12,6,20,27,22,4,31,31,6,19,27,22,4,31,31,6,21,28,22,4,32,32,6,20,27,22,4,31,8,47,16,1,1
124,0,0,1,12,6,20,28,22,4,31,31,6,21,29,22,4,32,32,5,18,22,22,4,29,29,6,20,28,22,1,31,79,43,113,2,0
125,0,0,2,0,19,36,53,37,4,31,39,19,36,53,37,4,31,39,19,38,54,37,4,31,39,19,36,53,37,1,31,62,7,73,0,0
126,0,0,1,12,6,20,27,22,4,31,31,6,19,27,22,4,31,31,6,21,28,22,4,32,32,6,20,27,22,4,31,27,47,115,1,1
127,0,0,1,12,6,20,27,22,4,31,31,6,20,27,22,4,31,31,6,20,28,22,4,32,31,6,20,27,22,4,31,16,45,78,0,0
128,0,0,2,0,19,36,53,37,4,31,39,19,36,53,37,4,31,39,19,38,54,37,4,31,39,19,36,53,37,4,31,43,9,109,0,0
129,0,0,5,0,19,36,53,37,4,31,39,19,34,50,36,4,32,39,19,45,59,41,4,27,39,19,36,53,37,2,31,109,6,104,0,0
130,0,0,8,0,19,36,53,36,4,31,39,19,34,49,36,4,30,39,19,48,66,37,4,33,39,19,36,53,36,4,31,101,10,20,0,2
131,0,0,3,0,19,36,53,37,4,31,39,19,35,52,37,4,31,39,19,39,55,37,4,32,40,19,36,53,37,4,31,52,6,65,0,0
132,0,0,2,0,19,38,54,38,4,31,39,20,41,56,38,4,32,40,18,29,46,36,4,29,37,19,38,54,38,4,31,43,6,70,0,1
133,0,0,3,0,19,36,53,37,4,31,39,19,36,53,37,4,31,39,19,38,54,37,4,31,39,19,36,53,37,4,31,40,9,107,0,0
134,0,0,7,0,19,38,53,38,4,31,39,20,41,55,38,4,32,40,18,30,47,36,4,29,37,19,38,53,38,1,31,112,6,29,0,1
135,0,0,8,0,19,38,53,38,4,31,39,20,41,55,38,4,32,40,18,30,47,36,4,29,37,19,38,53,38,3,31,96,8,92,2,1
136,0,0,8,0,19,36,53,37,4,31,39,19,36,53,37,4,31,39,19,38,54,37,4,31,39,19,36,53,37,4,31,36,10,99,0,2
137,0,0,1,12,6,20,27,22,4,31,31,6,20,27,22,4,31,31,6,20,28,22,4,31,31,6,20,27,22,4,31,18,47,49,1,2
138,0,0,1,12,6,20,27,22,4,31,31,6,20,27,22,4,31,31,6,20,28,22,4,32,31,6,20,27,22,4,31,20,41,92,0,0
139,0,0,1,12,6,20,27,22,4,31,31,6,19,27,22,4,31,31,6,21,28,22,4,32,32,6,20,27,22,4,31,31,59,5,1,0
140,0,0,1,12,6,20,28,22,4,31,31,6,21,29,22,4,32,32,5,18,22,22,4,29,29,6,20,28,22,4,31,52,53,60,1,2
141,0,0,1,12,6,20,27,22,4,31,31,6,20,27,22,4,31,31,6,20,28,22,4,32,31,6,20,27,22,4,31,42,49,92,0,1
142,0,0,3,0,19,36,53,37,4,31,39,19,35,50,36,4,31,39,19,39,61,39,4,29,39,19,36,53,37,1,31,100,8,10,2,0
143,0,0,8,0,19,38,54,38,4,31,39,20,41,56,38,4,32,40,18,29,46,36,4,29,37,19,38,54,38,0,31,119,8,55,0,1
144,0,0,3,0,19,38,53,38,4,31,39,20,41,55,38,4,32,40,18,30,47,36,4,29,37,19,38,53,38,3,31,111,10,113,1,2
145,0,0,9,0,19,38,54,38,4,31,39,20,42,58,38,4,32,40,18,28,45,36,4,28,37,19,38,54,38,6,31,109,8,13,0,2
146,0,0,7,0,19,38,54,38,4,31,39,20,42,58,38,4,32,40,18,28,45,36,4,28,37,19,38,54,38,0,31,89,8,45,2,1
147,0,0,1,12,6,20,27,22,4,31,31,6,20,27,22,4,31,31,6,20,28,22,4,32,31,6,20,27,22,4,31,48,43,82,2,2
148,0,0,9,0,19,36,53,37,4,31,39,19,35,52,37,4,31,39,20,41,55,38,4,32,40,19,36,53,37,4,31,37,9,80,0,2
149,0,0,1,12,6,20,27,22,4,31,31,6,20,27,22,4,31,31,6,20,28,22,4,31,31,6,20,27,22,4,31,29,48,49,2,0
150,0,0,1,12,6,20,27,22,4,31,31,6,20,27,22,4,31,31,6,20,28,22,4,32,31,6,20,27,22,6,31,39,59,118,2,0
151,0,0,1,12,6,20,27,22,4,31,31,6,19,27,22,4,31,31,6,21,28,22,4,32,32,6,20,27,22,4,31,209,52,90,2,0
152,0,0,3,0,19,36,53,37,4,31,39,19,35,52,37,4,31,39,19,39,55,37,4,32,40,19,36,53,37,4,31,46,10,77,0,0
153,0,0,2,0,19,36,53,37,4,31,39,19,36,53,37,4,31,39,19,38,54,37,4,31,39,19,36,53,37,4,31,59,9,67,0,2
154,0,0,2,0,19,36,53,37,4,31,39,19,36,53,37,4,31,39,19,38,54,37,4,31,39,19,36,53,37,3,31,78,6,79,1,1
155,0,0,7,0,19,36,53,38,4,31,39,19,31,52,38,4,30,39,19,52,56,36,4,33,40,19,36,53,38,7,31,106,9,52,0,2
156,0,0,8,0,19,36,53,37,4,31,39,19,31,49,37,4,31,39,19,52,66,36,4,33,40,19,36,53,37,5,31,114,7,105,2,0
157,0,0,3,0,19,38,54,38,4,31,39,20,42,58,38,4,32,40,18,28,45,36,4,28,37,19,38,54,38,0,31,96,6,90,0,1
158,0,0,3,0,19,38,54,38,4,31,39,20,41,56,38,4,32,40,18,29,46,36,4,29,37,19,38,54,38,4,31,39,8,41,0,1
159,0,0,2,0,19,36,53,37,4,31,39,19,35,52,37,4,31,39,19,39,55,37,4,32,40,19,36,53,37,9,31,64,10,74,0,1
160,0,0,1,12,6,20,28,22,4,31,31,6,21,29,22,4,32,32,5,17,22,22,4,28,29,6,20,28,22,4,31,59,48,58,0,1
161,0,0,6,0,19,38,53,37,4,30,39,19,38,49,36,4,30,39,19,41,66,39,4,31,39,19,38,53,37,11,30,83,9,12,0,0
162,0,0,1,12,6,20,27,22,4,31,31,6,19,27,22,4,31,31,6,21,28,22,4,32,32,6,20,27,22,2,31,67,54,30,1,2
163,0,0,1,12,6,20,27,22,4,31,31,6,19,28,22,4,31,31,7,22,21,22,4,31,32,6,20,27,22,0,31,41,44,86,0,0
164,0,0,3,0,19,36,53,37,4,31,39,19,35,52,37,4,31,39,20,41,55,38,4,32,40,19,36,53,37,4,31,36,10,42,0,0
165,0,0,9,0,19,38,53,37,4,31,39,19,35,49,36,4,30,39,20,49,66,41,4,35,39,19,38,53,37,1,31,109,8,62,2,0
166,0,0,3,0,19,36,54,37,4,31,39,19,31,58,36,4,32,39,19,52,42,41,4,27,39,19,36,54,37,0,31,79,6,105,0,2
167,0,0,1,12,6,20,27,22,4,31,31,6,20,27,22,4,31,31,6,20,27,22,4,31,31,6,20,27,22,4,31,20,59,6,0,2
168,0,0,3,0,19,38,53,38,4,31,39,20,41,55,38,4,32,40,18,30,47,36,4,29,37,19,38,53,38,4,31,90,10,97,0,2
169,0,0,3,0,19,36,53,37,4,31,39,19,36,53,37,4,31,39,19,38,54,37,4,31,39,19,36,53,37,4,31,45,7,53,0,0
170,0,0,4,0,19,36,53,37,4,31,39,19,36,53,37,4,31,39,19,38,54,37,4,31,39,19,36,53,37,6,31,93,10,78,1,0
171,0,0,1,12,6,20,27,22,4,31,31,6,20,27,22,4,31,31,6,20,27,22,4,31,31,6,20,27,22,2,31,44,44,55,0,1
172,0,0,8,0,19,38,54,38,4,31,39,20,42,58,38,4,32,40,18,28,45,36,4,28,37,19,38,54,38,7,31,107,8,114,2,1
173,0,0,1,12,6,20,27,22,4,31,31,6,19,27,22,4,31,31,6,21,28,22,4,32,32,6,20,27,22,4,31,25,41,41,1,1
174,0,0,2,0,19,36,53,37,4,31,39,19,35,52,37,4,31,39,20,41,55,38,4,32,40,19,36,53,37,9,31,68,9,65,2,1
175,0,0,1,12,6,20,27,22,4,31,31,6,20,27,22,4,31,31,6,20,27,22,4,31,31,6,20,27,22,4,31,31,60,63,0,0
176,0,0,8,0,19,38,53,38,4,31,39,19,42,49,38,4,30,39,19,27,66,36,4,35,40,19,38,53,38,3,31,103,8,80,0,0
