player_id,team_id,league_id,position,role,pitching_ratings_overall_stuff,pitching_ratings_overall_control,pitching_ratings_overall_movement,pitching_ratings_overall_balk,pitching_ratings_overall_hp,pitching_ratings_overall_wild_pitch,pitching_ratings_vsr_stuff,pitching_ratings_vsr_control,pitching_ratings_vsr_movement,pitching_ratings_vsr_balk,pitching_ratings_vsr_hp,pitching_ratings_vsr_wild_pitch,pitching_ratings_vsl_stuff,pitching_ratings_vsl_control,pitching_ratings_vsl_movement,pitching_ratings_vsl_balk,pitching_ratings_vsl_hp,pitching_ratings_vsl_wild_pitch,pitching_ratings_talent_stuff,pitching_ratings_talent_control,pitching_ratings_talent_movement,pitching_ratings_talent_balk,pitching_ratings_talent_hp,pitching_ratings_talent_wild_pitch,pitching_ratings_pitches_fastball,pitching_ratings_pitches_slider,pitching_ratings_pitches_curveball,pitching_ratings_pitches_screwball,pitching_ratings_pitches_forkball,pitching_ratings_pitches_changeup,pitching_ratings_pitches_sinker,pitching_ratings_pitches_splitter,pitching_ratings_pitches_knuckleball,pitching_ratings_pitches_cutter,pitching_ratings_pitches_circlechange,pitching_ratings_pitches_knucklecurve,pitching_ratings_pitches_talent_fastball,pitching_ratings_pitches_talent_slider,pitching_ratings_pitches_talent_curveball,pitching_ratings_pitches_talent_screwball,pitching_ratings_pitches_talent_forkball,pitching_ratings_pitches_talent_changeup,pitching_ratings_pitches_talent_sinker,pitching_ratings_pitches_talent_splitter,pitching_ratings_pitches_talent_knuckleball,pitching_ratings_pitches_talent_cutter,pitching_ratings_pitches_talent_circlechange,pitching_ratings_pitches_talent_knucklecurve,pitching_ratings_misc_velocity,pitching_ratings_misc_arm_slot,pitching_ratings_misc_stamina,pitching_ratings_misc_ground_fly,pitching_ratings_misc_hold
11,10,100,1,11,95,84,163,1,8,15,99,89,170,1,8,15,89,78,154,1,8,15,95,84,163,1,8,15,80,64,149,0,0,100,0,0,0,0,0,0,80,64,149,0,0,100,0,0,0,0,0,0,10,3,157,59,42
12,10,100,7,0,2,1,58,10,15,30,2,1,59,10,15,30,2,1,55,10,15,30,2,1,58,0,15,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,4,1,35,72
13,25,100,6,0,2,1,58,10,15,30,2,1,59,10,15,30,2,1,55,10,15,30,2,1,58,0,15,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,4,1,35,64
14,16,100,6,0,2,1,58,10,15,30,2,1,60,10,15,30,2,1,55,10,15,30,2,1,58,0,15,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,3,1,35,33
15,23,100,9,0,3,1,59,10,15,30,4,1,59,10,15,30,3,1,59,10,15,30,3,1,59,0,13,0,0,10,0,0,0,0,12,0,0,0,0,0,0,10,0,0,0,0,12,0,0,0,0,0,3,3,1,67,148
16,20,100,6,0,3,1,59,10,15,30,4,1,59,10,15,30,3,1,59,10,15,30,5,1,59,0,13,0,0,10,0,0,0,0,12,0,0,0,0,0,0,19,0,0,0,0,13,0,0,0,0,0,3,3,1,67,50
17,67,103,7,0,2,1,55,10,15,30,2,1,54,10,15,30,2,1,60,10,15,30,2,1,55,0,15,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,3,1,35,158
18,12,100,2,0,2,1,58,10,15,30,2,1,59,10,15,30,2,1,55,10,15,30,2,1,58,0,15,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,4,1,35,120
19,20,100,1,12,80,14,55,1,10,6,84,15,58,1,10,6,75,14,53,1,10,6,109,30,55,0,0,0,115,0,60,0,0,0,0,0,0,0,0,0,133,0,97,0,0,0,0,0,0,0,0,0,17,3,30,42,140
20,1,100,6,0,3,1,59,10,15,30,4,1,59,10,15,30,3,1,59,10,15,30,4,1,59,0,13,0,0,10,0,0,0,0,12,0,0,0,0,0,0,11,0,0,0,0,12,0,0,0,0,0,3,3,1,67,132
21,26,100,3,0,27,2,58,10,15,30,26,2,60,10,15,30,27,2,54,10,15,30,27,2,58,0,13,0,92,0,70,0,0,0,0,0,0,0,0,0,92,0,70,0,0,0,0,0,0,0,0,0,4,3,1,35,103
22,45,101,4,0,2,1,58,10,15,30,2,1,60,10,15,30,2,1,55,10,15,30,2,1,58,0,15,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,3,1,35,147
23,11,100,1,12,91,55,66,0,3,6,88,54,65,0,3,6,97,60,70,0,3,6,111,88,81,0,0,0,105,116,70,0,0,0,0,0,0,0,0,0,114,147,88,0,0,0,0,0,0,0,0,0,14,4,25,56,175
24,24,100,8,0,2,1,58,10,15,30,2,1,60,10,15,30,2,1,55,10,15,30,2,1,58,0,15,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,3,1,35,128
25,28,100,1,12,60,106,60,0,6,3,62,112,64,0,6,3,57,98,57,0,6,3,64,211,209,0,0,0,74,82,0,0,0,74,0,0,0,0,0,0,76,88,0,0,0,83,0,0,0,0,0,0,10,3,30,65,78
26,3,100,1,12,106,78,112,1,3,6,111,83,118,1,3,6,100,73,104,1,3,6,113,120,145,0,0,0,130,0,78,0,0,55,0,0,0,0,0,0,134,0,86,0,0,64,0,0,0,0,0,0,18,3,29,53,59
27,9,100,1,12,133,60,57,1,7,2,136,63,59,1,7,2,130,55,53,1,7,2,133,76,57,0,0,0,135,0,151,0,0,158,0,0,0,0,0,0,135,0,151,0,0,158,0,0,0,0,0,0,12,3,127,47,77
28,42,101,1,12,84,91,98,1,6,4,82,89,95,1,6,4,91,99,105,1,6,4,92,99,104,0,0,0,107,98,0,0,0,88,0,0,0,0,0,0,112,107,0,0,0,101,0,0,0,0,0,0,12,4,31,63,170
29,190,114,1,12,83,4,58,2,10,6,85,4,59,2,10,6,80,4,55,2,10,6,83,4,58,0,0,0,89,0,68,0,0,118,0,0,0,0,0,0,89,0,68,0,0,118,0,0,0,0,0,0,11,4,41,34,26
30,13,100,1,11,118,144,123,0,6,5,122,150,128,0,6,5,113,137,117,0,6,5,139,145,141,0,7,6,137,130,102,0,0,0,0,110,0,108,0,0,148,154,133,0,0,0,0,120,0,129,0,0,14,3,135,55,132
31,45,101,1,11,81,83,59,1,7,5,84,86,61,1,7,5,76,80,57,1,7,5,95,144,81,0,0,0,90,83,118,0,0,76,0,0,0,0,0,0,97,94,139,0,0,92,0,0,0,0,0,0,10,3,148,48,11
32,1,100,1,11,74,154,64,1,5,2,72,148,61,1,5,2,82,174,70,1,5,2,74,154,64,1,5,2,103,90,86,0,0,77,0,0,0,0,0,0,103,90,86,0,0,77,0,0,0,0,0,0,12,3,162,52,130
33,60,102,1,11,128,80,70,1,4,6,124,77,67,1,4,6,139,90,77,1,4,6,128,132,111,0,0,0,111,96,0,0,0,163,0,0,0,131,0,0,111,96,0,0,0,163,0,0,0,136,0,0,13,2,100,46,171
34,207,115,1,12,67,18,59,1,4,6,70,20,63,1,4,6,63,16,55,1,4,6,81,23,59,0,0,0,101,71,0,0,0,42,0,0,0,0,0,0,110,89,0,0,0,67,0,0,0,0,0,0,14,3,29,55,198
35,87,105,8,0,6,1,58,10,15,30,6,1,59,10,15,30,5,1,58,10,15,30,7,1,58,0,8,0,25,15,0,0,0,0,0,0,0,0,0,0,26,19,0,0,0,0,0,0,0,0,0,0,4,2,1,35,66
36,46,101,1,11,104,81,59,0,3,6,106,84,60,0,3,6,100,77,57,0,3,6,104,82,59,0,0,0,94,0,89,0,0,174,0,0,0,0,0,0,94,0,89,0,0,174,0,0,0,0,0,0,10,4,162,44,126
37,14,100,1,12,74,11,58,2,9,6,72,11,55,2,9,6,81,12,63,2,9,6,97,68,140,0,0,0,108,0,86,0,0,0,0,0,0,0,0,0,124,0,119,0,0,0,0,0,0,0,0,0,13,3,27,56,138
38,41,101,8,0,2,1,53,10,15,30,2,1,54,10,15,30,2,1,50,10,15,30,2,1,53,0,15,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,3,1,35,35
39,11,100,1,11,119,144,94,0,2,6,123,150,98,0,2,6,112,137,90,0,2,6,119,144,94,0,0,0,133,84,136,0,0,0,87,92,0,92,0,0,133,84,136,0,0,0,87,92,0,92,0,0,13,3,167,56,97
40,0,0,2,0,3,1,58,10,15,30,3,1,60,10,15,30,3,1,54,10,15,30,3,1,58,0,15,0,24,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,4,4,1,35,104
41,0,0,5,0,2,1,58,10,15,30,2,1,59,10,15,30,2,1,55,10,15,30,2,1,58,0,15,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,3,1,35,141
42,0,0,1,12,22,34,78,1,1,1,24,37,82,1,1,1,20,31,72,1,1,1,22,34,78,0,0,0,61,0,22,0,0,0,0,0,0,0,0,0,61,0,22,0,0,0,0,0,0,0,0,0,10,3,45,51,92
43,0,0,1,12,28,32,75,0,1,1,29,34,77,0,1,1,27,28,71,0,1,1,28,32,75,0,0,0,0,38,0,0,46,9,46,0,0,0,0,0,0,38,0,0,46,9,46,0,0,0,0,0,10,4,128,66,105
44,0,0,1,12,43,32,76,0,1,1,45,34,81,0,1,1,39,28,71,0,1,1,43,32,76,0,0,0,66,34,0,0,0,1,58,0,0,0,0,0,66,34,0,0,0,1,58,0,0,0,0,0,11,2,75,54,143
45,0,0,8,0,2,1,58,10,15,30,2,1,60,10,15,30,2,1,54,10,15,30,2,1,58,0,15,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,3,1,35,52
46,0,0,1,12,37,34,79,0,1,1,38,37,84,0,1,1,35,31,75,0,1,1,37,34,79,0,0,0,60,0,21,0,0,0,0,0,0,54,0,0,60,0,21,0,0,0,0,0,0,54,0,0,10,3,2,52,161
47,0,0,1,12,22,34,79,0,1,1,24,38,86,0,1,1,19,31,73,0,1,1,22,34,79,0,0,0,61,0,22,0,0,0,0,0,0,0,0,0,61,0,22,0,0,0,0,0,0,0,0,0,10,3,47,54,115
48,0,0,1,12,22,34,79,1,1,1,24,37,84,1,1,1,20,31,73,1,1,1,22,34,79,0,5,0,60,0,21,0,54,1,0,0,0,0,0,0,60,0,21,0,54,1,0,0,0,0,0,0,10,2,2,52,82
49,0,0,1,12,22,34,78,1,1,1,23,37,82,1,1,1,20,32,73,1,1,1,22,34,78,0,5,0,58,0,25,0,0,0,0,0,0,0,0,0,58,0,25,0,0,0,0,0,0,0,0,0,9,3,49,45,1
50,0,0,8,0,2,1,58,10,15,30,2,1,59,10,15,30,2,1,55,10,15,30,2,1,58,0,15,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,3,1,35,116
51,0,0,1,12,38,34,79,0,1,1,41,37,82,0,1,1,35,32,78,0,1,1,38,34,79,0,0,0,60,31,21,0,0,1,34,0,0,0,0,0,60,31,21,0,0,1,34,0,0,0,0,0,10,1,24,72,114
52,0,0,1,12,22,33,78,1,1,1,22,32,77,1,1,1,23,35,81,1,1,1,22,33,78,0,0,0,0,39,0,0,0,0,0,57,0,0,0,0,0,39,0,0,0,0,0,57,0,0,0,0,10,3,31,54,142
53,0,0,2,0,2,1,58,10,15,30,2,1,60,10,15,30,2,1,55,10,15,30,2,1,58,0,15,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,4,1,35,154
54,0,0,2,0,2,1,58,10,15,30,2,1,59,10,15,30,2,1,55,10,15,30,2,1,58,0,15,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,3,1,35,139
55,0,0,1,12,22,34,79,0,1,1,23,37,82,0,1,1,20,32,75,0,1,1,22,34,79,0,0,0,0,0,30,0,0,0,0,0,0,55,0,0,0,0,30,0,0,0,0,0,0,55,0,0,10,3,37,58,115
56,0,0,5,0,3,1,59,10,15,30,3,1,61,10,15,30,3,1,58,10,15,30,3,1,59,0,13,0,0,0,7,0,0,0,12,0,0,0,0,0,0,0,7,0,0,0,12,0,0,0,0,0,3,3,1,67,62
57,0,0,1,12,22,34,79,0,1,1,24,37,84,0,1,1,19,31,73,0,1,1,22,34,79,0,0,0,61,0,22,0,0,2,0,0,0,0,0,0,61,0,22,0,0,2,0,0,0,0,0,0,10,1,47,43,22
58,0,0,1,12,22,34,78,0,1,1,24,37,83,0,1,1,19,32,72,0,1,1,22,34,78,0,0,0,0,0,32,0,0,0,55,0,0,0,0,0,0,0,32,0,0,0,55,0,0,0,0,0,9,3,38,56,40
59,0,0,1,12,34,32,75,1,1,1,36,34,78,1,1,1,32,28,71,1,1,1,34,32,75,0,0,0,60,31,21,0,0,0,0,54,0,0,0,0,60,31,21,0,0,0,0,54,0,0,0,0,10,1,220,50,130
60,0,0,4,0,2,1,58,10,15,30,2,1,59,10,15,30,2,1,55,10,15,30,2,1,58,0,15,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,4,1,35,51
61,0,0,1,12,32,34,78,0,1,1,35,38,87,0,1,1,27,30,70,0,1,1,32,34,78,0,0,0,54,0,19,0,0,1,59,0,0,0,0,0,54,0,19,0,0,1,59,0,0,0,0,0,9,3,45,44,101
62,0,0,3,0,2,1,58,10,15,30,2,1,60,10,15,30,2,1,54,10,15,30,2,1,58,0,15,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,3,1,35,123
63,0,0,2,0,2,1,58,10,15,30,2,1,60,10,15,30,2,1,55,10,15,30,2,1,58,0,15,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,4,1,35,72
64,0,0,4,0,2,1,58,10,15,30,2,1,59,10,15,30,2,1,55,10,15,30,2,1,58,0,15,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,4,1,35,37
65,0,0,6,0,2,1,58,10,15,30,2,1,60,10,15,30,2,1,55,10,15,30,2,1,58,0,15,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,3,1,35,90
66,0,0,1,12,37,31,71,0,1,1,35,30,67,0,1,1,45,37,83,0,1,1,37,31,71,0,0,0,60,0,21,0,0,1,59,0,0,0,0,0,60,0,21,0,0,1,59,0,0,0,0,0,10,3,153,45,141
67,0,0,2,0,2,1,58,10,15,30,2,1,60,10,15,30,2,1,54,10,15,30,2,1,58,0,15,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,3,1,35,44
68,0,0,1,12,38,32,73,0,1,1,41,34,78,0,1,1,35,30,69,0,1,1,38,32,73,0,0,0,60,31,21,0,0,1,60,0,0,0,0,0,60,31,21,0,0,1,60,0,0,0,0,0,10,3,134,44,72
69,0,0,1,12,26,33,78,0,1,1,24,31,75,0,1,1,31,39,87,0,1,1,26,33,78,0,0,0,48,0,17,0,0,0,0,0,0,42,0,0,48,0,17,0,0,0,0,0,0,42,0,0,8,3,42,60,198
70,0,0,8,0,2,1,58,10,15,30,2,1,60,10,15,30,2,1,55,10,15,30,2,1,58,0,15,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,3,1,35,134
71,0,0,1,12,22,34,79,0,1,1,23,37,83,0,1,1,21,32,76,0,1,1,22,34,79,0,5,0,0,0,29,0,0,0,0,0,0,62,0,0,0,0,29,0,0,0,0,0,0,62,0,0,10,3,48,33,104
72,0,0,4,0,3,1,58,10,15,30,3,1,61,10,15,30,3,1,53,10,15,30,3,1,58,0,14,0,18,0,0,0,0,1,0,0,0,0,0,0,18,0,0,0,0,1,0,0,0,0,0,0,3,3,1,35,126
73,0,0,1,12,32,33,73,0,1,1,28,30,69,0,1,1,39,40,88,0,1,1,32,33,73,0,0,0,54,0,19,0,0,1,61,0,0,0,0,0,54,0,19,0,0,1,61,0,0,0,0,0,9,3,49,35,145
74,0,0,1,12,22,34,78,0,1,1,23,37,81,0,1,1,20,32,73,0,1,1,22,34,78,0,0,0,60,0,21,0,0,0,0,0,0,0,0,21,60,0,21,0,0,0,0,0,0,0,0,21,10,1,36,63,124
75,0,0,1,12,22,33,77,0,1,1,20,31,72,0,1,1,27,40,89,0,1,1,22,33,77,0,0,0,0,0,29,0,0,0,59,0,0,0,0,0,0,0,29,0,0,0,59,0,0,0,0,0,10,4,47,53,185
76,0,0,7,0,3,1,58,10,15,30,3,1,59,10,15,30,3,1,55,10,15,30,3,1,58,0,15,0,24,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,4,4,1,35,84
77,0,0,1,12,33,33,78,1,1,1,32,32,76,1,1,1,37,37,84,1,1,1,33,33,78,0,0,0,60,31,0,0,0,1,0,51,0,0,0,0,60,31,0,0,0,1,0,51,0,0,0,0,10,3,48,58,195
78,0,0,8,0,2,1,58,10,15,30,2,1,59,10,15,30,2,1,55,10,15,30,2,1,58,0,15,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,4,1,35,63
79,0,0,9,0,2,1,55,10,15,30,2,1,54,10,15,30,2,1,60,10,15,30,2,1,55,0,15,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,3,1,35,102
80,0,0,1,12,22,34,79,0,1,1,25,38,86,0,1,1,20,31,72,0,1,1,22,34,79,0,5,0,0,0,32,0,0,0,60,0,0,0,0,0,0,0,32,0,0,0,60,0,0,0,0,0,9,3,37,50,38
81,0,0,1,12,26,32,75,0,1,1,27,34,79,0,1,1,24,28,70,0,1,1,26,32,75,0,0,0,58,0,32,0,52,11,0,0,0,0,0,0,58,0,32,0,52,11,0,0,0,0,0,0,9,3,157,57,43
82,7,100,7,0,2,1,58,10,15,30,2,1,60,10,15,30,2,1,55,10,15,30,2,1,58,0,15,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,3,1,35,151
83,0,0,4,0,2,1,58,10,15,30,2,1,60,10,15,30,2,1,54,10,15,30,2,1,58,0,15,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,4,1,35,84
84,0,0,3,0,2,1,58,10,15,30,2,1,59,10,15,30,2,1,55,10,15,30,2,1,58,0,15,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,3,1,35,63
85,0,0,1,12,28,32,75,0,1,1,32,35,81,0,1,1,25,28,67,0,1,1,28,32,75,0,0,0,62,32,24,0,0,2,0,0,0,0,0,0,62,32,24,0,0,2,0,0,0,0,0,0,10,3,138,42,182
86,0,0,1,11,41,73,59,0,5,6,44,77,63,0,5,6,39,67,55,0,5,6,41,73,59,0,0,0,80,0,0,0,0,34,0,0,0,66,0,0,80,0,0,0,0,34,0,0,0,66,0,0,10,3,123,56,119
87,0,0,1,12,22,34,78,0,1,1,24,37,83,0,1,1,19,32,73,0,1,1,22,34,78,0,0,0,54,28,0,0,0,1,0,0,0,0,0,0,54,28,0,0,0,1,0,0,0,0,0,0,9,2,41,60,55
88,0,0,1,12,25,34,78,0,1,1,27,38,82,0,1,1,22,32,73,0,1,1,25,34,78,0,0,0,66,0,23,0,0,0,0,0,0,0,0,0,66,0,23,0,0,0,0,0,0,0,0,0,11,3,49,40,15
89,0,0,1,12,58,34,79,0,1,1,62,37,83,0,1,1,51,32,73,0,1,1,58,34,79,0,0,0,84,0,29,0,0,1,56,0,0,0,0,0,84,0,29,0,0,1,56,0,0,0,0,0,14,3,2,66,78
90,0,0,1,12,25,34,78,0,1,1,25,37,81,0,1,1,24,32,76,0,1,1,25,34,78,0,0,0,60,31,0,0,0,0,0,0,0,0,0,0,60,31,0,0,0,0,0,0,0,0,0,0,10,3,42,39,25
91,0,0,1,12,22,34,79,1,1,1,24,35,83,1,1,1,20,32,76,1,1,1,22,34,79,0,0,0,54,0,30,0,0,0,0,0,0,0,0,0,54,0,30,0,0,0,0,0,0,0,0,0,8,4,48,48,127
92,0,0,1,12,22,34,79,0,1,1,24,38,86,0,1,1,20,31,73,0,1,1,22,34,79,0,0,0,61,0,22,0,0,0,0,0,0,0,0,0,61,0,22,0,0,0,0,0,0,0,0,0,10,3,48,48,77
93,0,0,7,0,2,1,55,10,15,30,2,1,54,10,15,30,2,1,60,10,15,30,2,1,55,0,15,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,4,1,35,105
94,0,0,1,12,36,34,79,0,1,1,38,38,84,0,1,1,34,32,75,0,1,1,36,34,79,0,0,0,84,0,29,0,0,0,0,0,0,0,0,0,84,0,29,0,0,0,0,0,0,0,0,0,14,3,28,46,57
95,0,0,1,12,32,32,75,1,1,1,34,34,79,1,1,1,29,28,69,1,1,1,32,32,75,0,0,0,54,0,19,0,0,1,0,0,0,43,0,0,54,0,19,0,0,1,0,0,0,43,0,0,9,3,162,65,69
96,0,0,3,0,2,1,58,10,15,30,2,1,60,10,15,30,2,1,54,10,15,30,2,1,58,0,15,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,4,1,35,65
97,0,0,4,0,3,1,58,10,15,30,3,1,60,10,15,30,3,1,54,10,15,30,3,1,58,0,15,0,24,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,4,3,1,35,151
98,0,0,2,0,13,1,59,10,15,30,14,1,63,10,15,30,13,1,55,10,15,30,13,1,59,0,13,0,54,0,19,0,0,0,0,0,0,0,0,0,54,0,19,0,0,0,0,0,0,0,0,0,9,3,1,50,43
99,0,0,1,12,37,32,75,1,1,1,40,34,81,1,1,1,32,27,67,1,1,1,37,32,75,0,0,0,60,0,21,0,0,1,56,0,0,0,0,0,60,0,21,0,0,1,56,0,0,0,0,0,10,2,144,51,20
100,0,0,1,12,26,33,78,0,1,1,25,32,76,0,1,1,31,38,87,0,1,1,26,33,78,0,0,0,60,31,0,0,0,1,0,0,0,0,0,0,60,31,0,0,0,1,0,0,0,0,0,0,10,3,45,53,195
101,0,0,7,0,2,1,58,10,15,30,2,1,60,10,15,30,2,1,54,10,15,30,2,1,58,0,15,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,3,1,35,60
102,0,0,5,0,2,1,58,10,15,30,2,1,59,10,15,30,2,1,55,10,15,30,2,1,58,0,15,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,3,1,35,38
103,0,0,1,12,22,34,78,0,1,1,24,38,83,0,1,1,20,31,71,0,1,1,22,34,78,0,0,0,0,31,21,0,0,0,47,0,0,0,0,0,0,31,21,0,0,0,47,0,0,0,0,0,10,3,36,63,21
104,0,0,1,12,28,32,75,0,1,1,29,34,78,0,1,1,26,30,71,0,1,1,28,32,75,0,0,0,62,34,23,0,0,1,0,0,0,0,0,0,62,34,23,0,0,1,0,0,0,0,0,0,10,3,73,42,10
105,0,0,6,0,2,1,58,10,15,30,2,1,60,10,15,30,2,1,54,10,15,30,2,1,58,0,15,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,4,1,35,123
